,    华山街道办事处,    护国街道办事处,    大观街道办事处,    龙翔街道办事处,    丰宁街道办事处,    莲华街道办事处,    红云街道办事处,    黑林铺街道办事处,    普吉街道办事处,    沙朗街道办事处,    厂口街道办事处,昆明国家高新技术产业开发区,    拓东街道办事处,    鼓楼街道办事处,    东华街道办事处,    联盟街道办事处,    金辰街道办事处,    青云街道办事处,    龙泉街道办事处,    茨坝街道办事处,    双龙街道办事处,    松华街道办事处,    滇源镇,    阿子营镇,    关上街道办事处,    太和街道办事处,    吴井街道办事处,    金马街道办事处,    小板桥街道办事处,    官渡街道办事处,    矣六街道办事处,    六甲街道办事处,    大板桥街道办事处,    阿拉街道办事处,    昆明经济技术开发区,    西苑街道办事处,    马街街道办事处,    金碧街道办事处,    永昌街道办事处,    前卫街道办事处,    福海街道办事处,    棕树营街道办事处,    碧鸡街道办事处,    海口街道办事处,    团结街道办事处,昆明滇池国家旅游度假区,    龙城街道办事处,    洛龙街道办事处,    斗南街道办事处,    乌龙街道办事处,    吴家营街道办事处,    雨花街道办事处,    七甸街道办事处,    洛羊街道办事处,    大渔街道办事处,    马金铺街道办事处
龙泉社区卫生服务中心,9.34548418132188 km,9.184364195216999 km,9.990063434471097 km,9.684029239385511 km,9.765668233031178 km,7.570061280191215 km,3.6864900627775543 km,11.603162184473913 km,8.926287160395674 km,9.04338435055663 km,8.207562048838637 km,10.955187466711331 km,9.231878030751835 km,8.207562048838637 km,7.514705293651466 km,7.467775193280148 km,5.16898281854225 km,5.483331128200266 km,1.2728897995653286 km,3.9991887264343595 km,9.512177175002822 km,12.212674574885442 km,23.51415564326965 km,25.306602839079652 km,11.183914446352885 km,10.061904116170941 km,9.31135259061895 km,8.437678434296666 km,15.039424238299906 km,17.07755385976217 km,20.216861582346848 km,18.60447667738022 km,23.578447037746102 km,13.075048321805047 km,15.769411427682869 km,11.875366451664803 km,13.572118937261278 km,11.013526024284976 km,11.15727111117068 km,13.024742542909687 km,13.477414496062345 km,10.71818816693012 km,19.4947560439462 km,39.240030275075846 km,22.84354660009893 km,17.244868814710628 km,25.031770886508912 km,28.50753988817188 km,22.425440575595022 km,24.802300742033857 km,30.92839688904205 km,31.538319948279348 km,25.92846425372305 km,24.473053835801917 km,31.581912240843188 km,36.419209214328646 km
红云社区卫生服务中心,6.466857039164806 km,6.598814348741972 km,7.048112392704081 km,6.714978742300051 km,6.618375197722421 km,4.393401035038275 km,1.0189725614007887 km,8.420740267623605 km,5.901227542063329 km,6.265978515660585 km,5.670936920054169 km,7.8148572166738886 km,6.929120546944953 km,5.670936920054169 km,5.389479529049889 km,5.078934107570511 km,2.4902936627601604 km,4.050432684790356 km,2.0438159480882647 km,5.435822788663565 km,12.325594946078414 km,15.318232210767418 km,26.42399558026982 km,27.414637265901035 km,9.46500154247574 km,7.847912955555729 km,7.276905833087936 km,6.9305217822200955 km,13.988470774381915 km,15.69897297137087 km,18.770204598615162 km,16.272200076382475 km,26.694640679523594 km,12.61053314654941 km,15.666792562394228 km,8.71280500163692 km,10.37440665424469 km,8.13057136050397 km,8.633436028793279 km,10.629111929998809 km,10.627451017996167 km,7.705381564251796 km,16.416747326990162 km,36.67632545697157 km,19.88518007190802 km,14.393830524807395 km,24.127972035350762 km,27.920412036671884 km,21.373007684906792 km,23.776049371542555 km,30.20247186623614 km,30.706122470759784 km,26.968217719776295 km,23.879351063422334 km,30.37133370661332 km,35.18470743901908 km
昆明安琪妇产医院,0.5728759731058798 km,0.8718005380525917 km,1.2564960320953598 km,1.1930538329533087 km,2.621335177562072 km,3.044289204252837 km,6.623865424416474 km,5.939147066006574 km,6.14628547534494 km,0.0003027431836287827 km,1.2055742258064075 km,6.157763078824536 km,1.9552679229781111 km,1.2055742258064075 km,2.535099746585444 km,1.980606812341496 km,3.8878375193272516 km,4.509227030512868 km,8.164180103696737 km,11.655345429426148 km,16.277133626345705 km,21.201616851170918 km,32.55343320152787 km,33.60780629423603 km,4.992399631992732 km,2.671026032442445 km,2.894286937501155 km,4.182079433710001 km,10.065297225697805 km,10.994016615388471 km,13.769775491254917 km,10.173546240958519 km,31.13890977818202 km,10.070805357657845 km,13.375901989969453 km,4.0875586880046155 km,6.04663124255145 km,2.0144425584327057 km,2.5599804816879814 km,4.610571590522456 km,4.435127178332791 km,2.123662779157863 km,10.682950362587786 km,30.413971021852184 km,17.717788734153952 km,8.201829052562623 km,19.796316625664335 km,23.998081154251757 km,16.900692467378992 km,19.256302745897266 km,25.993577082729182 km,26.31671366543975 km,26.119005308204354 km,20.082979070019363 km,25.416190150480922 km,30.13126531619242 km
云南仁爱医院,2.6552090675225126 km,3.1775420170639963 km,3.1843719845591605 km,2.843678859732954 km,2.9350402497144934 km,1.1956285459934128 km,4.088903772064593 km,5.60409969940994 km,4.464125660784377 km,2.5846818541484207 km,2.508450307906649 km,5.384838979995564 km,3.9229046108684864 km,2.508450307906649 km,3.1421798631836846 km,2.4347610879330657 km,1.9276140355718892 km,3.804649701439124 km,5.881657288308812 km,9.149715730941757 km,15.109582689542075 km,19.121258913064032 km,30.297362347967322 km,31.060865519753737 km,6.97299203592671 km,4.843331877214059 km,4.642456782215613 km,5.203509940440346 km,11.983859343738379 km,13.21819073889008 km,16.11515233068698 km,12.758142074360194 km,29.84590938438405 km,11.42997717675213 km,14.718231450128012 km,5.0452653306113175 km,6.8797251175386895 km,4.2871804527871396 km,5.128239977756824 km,7.181143493386629 km,6.783340652290423 km,3.832739280335881 km,12.584352666296583 km,32.91524887157344 km,17.620828616631833 km,10.537328742938717 km,21.958881694505806 km,26.042707966778618 km,19.094322187092356 km,21.477623641650514 km,28.139596704444745 km,28.521117396325096 km,27.04301973110624 km,22.065459584301347 km,27.787615585940486 km,32.53693231210185 km
云南现代妇产医院,1.649834556192991 km,3.0230513352784554 km,1.2983856702187706 km,1.0806602618099588 km,0.5140372323074168 km,2.45141669744028 km,6.768896396804907 km,3.76027080341439 km,4.558100688727749 km,2.195211985983527 km,3.283096008980893 km,4.074808253692242 km,4.118067680514208 km,3.283096008980893 km,4.583013023643366 km,3.903922367403652 km,4.8281406772027715 km,6.216880193934407 km,8.775550474605454 km,11.787195629300031 km,17.885160143015483 km,22.041838443339977 km,33.138031802314465 km,33.48527452615647 km,7.022585078094257 km,4.704373736791654 km,5.065779724913402 km,6.3675551470872715 km,12.037043148346257 km,12.719316466837816 km,15.313309686937274 km,10.915643433745014 km,32.686713532625795 km,12.232103437856841 km,15.528906077706845 km,2.1617142016484574 km,4.094537118395362 km,2.1642753722068027 km,3.9851461249148223 km,5.800822875687237 km,4.35579553084279 km,1.231418738040619 km,9.676431606830628 km,30.466105461041643 km,15.547595524503803 km,7.94169469382335 km,21.517470168709867 km,25.8076641970613 km,18.605760797246194 km,20.919229722217043 km,27.70944120979931 km,27.972357097319794 km,28.30997403196819 km,21.951344125024242 km,26.853758546428534 km,31.496050177294197 km
空间俊园社区卫生服务中心,0.5048537744410696 km,0.9138399404310948 km,1.0099225886183896 km,1.0575487301382027 km,2.594810927367473 km,3.2986218847034996 km,6.991389982721575 km,5.8875968992745085 km,6.297191338864673 km,0.3913244636410392 km,1.5145726523139138 km,6.168919109810913 km,1.9983015823602597 km,1.5145726523139138 km,2.820364295463519 km,2.317829126143806 km,4.278608753880953 km,4.858602561010754 km,8.553510078290095 km,12.030302741810615 km,16.619084166710195 km,21.591794667587703 km,32.944798305136935 km,33.97567535788519 km,4.92781483704953 km,2.5989976432174497 km,2.946298132981978 km,4.3427754361397195 km,9.980029900018003 km,10.824607578343116 km,13.557959546837198 km,9.83324458817102 km,31.483949211636563 km,10.104833035396084 km,13.401218257986127 km,3.875420630311079 km,5.819130687512186 km,1.6358467098364176 km,2.2676512509218445 km,4.304421248745279 km,4.043766279051552 km,1.8506946574079197 km,10.310481283407135 km,30.03483903601444 km,17.567238814713097 km,7.810356809441816 km,19.632453825064513 km,23.861234935012206 km,16.7309926940332 km,19.076847167308447 km,25.830344639923805 km,26.137949085757988 km,26.197968117510776 km,19.963912655083597 km,25.188666219511454 km,29.891110207017938 km
虹山南路社区卫生服务中心,2.012253685276397 km,3.324178471727707 km,1.9339317583229874 km,1.6137732477550881 km,0.6022168405663557 km,1.654519137568516 km,5.985461952759386 km,3.614788330557892 km,3.849918930284973 km,2.4524085259776705 km,3.337403411262721 km,3.721285588215893 km,4.402802212564993 km,3.337403411262721 km,4.543333068846702 km,3.815046748018312 km,4.276603400768262 km,5.915296337951856 km,8.060218655136945 km,10.97859918582756 km,17.439366925266487 km,21.335082145911148 km,32.37260016296296 km,32.64534353121039 km,7.433482089127993 km,5.1048367423425 km,5.33152449601757 km,6.467346907506906 km,12.494988591787596 km,13.304568356831716 km,15.967804314685276 km,11.722819563000742 km,32.19332205949392 km,12.500206721424885 km,15.809386465192382 km,2.716635453256384 km,4.530673838654042 km,2.9396497100162757 km,4.607709915086206 km,6.5105471437015865 km,5.197998305305024 km,2.0647943161344884 km,10.422770823619107 km,31.308960251499226 km,15.597659096296963 km,8.781768175696447 km,22.112524785475735 km,26.364653095947798 km,19.205596509409673 km,21.537117344465763 km,28.309235957245328 km,28.596165331399668 km,28.48314937220818 km,22.476787977490346 km,27.548113320052053 km,32.211348662060836 km
洪园社区卫生服务中心,3.540333098591381 km,4.910223871132948 km,3.193153495014941 km,2.9925199602979604 km,1.4387477528668795 km,2.845409813912868 km,6.877067843192366 km,1.8963614010517356 km,3.1735242813909275 km,4.057322755331977 km,5.040569265195428 km,2.175185378760796 km,6.005506302076725 km,5.040569265195428 km,6.2681936083241405 km,5.5419236933179175 km,5.766355761413117 km,7.588052592852204 km,9.149621523532838 km,11.635874469472881 km,18.95615061803472 km,22.361496416407128 km,33.16971626371744 km,32.90246205872895 km,8.934812736493004 km,6.6161874662785936 km,6.949755320201409 km,8.167978308156096 km,13.941198345326644 km,14.558432662013923 km,17.07381673627546 km,12.305392035050032 km,33.633389916876936 km,14.124934711807352 km,17.426610888102083 km,2.0028645714632383 km,3.269572039256146 km,3.866215471402073 km,5.833438034841537 km,7.524351094796726 km,5.57389580019376 km,2.8382061679079724 km,9.743078289330919 km,31.214990401477795 km,13.875734574734496 km,8.753193861597165 km,23.33848343027473 km,27.65845200177447 km,20.424560513491457 km,22.717364807845776 km,29.522356054084568 km,29.759085928520665 km,30.16560624781114 km,23.824196856469822 km,28.536517955983335 km,33.1333180234477 km
霖雨社区卫生服务中心,7.013138255308743 km,7.03096566448819 km,7.623258786832466 km,7.3010300264563694 km,7.293466115198002 km,5.087235500896619 km,1.5643458633523355 km,9.165706644916282 km,6.638130254888336 km,6.769852617850019 km,6.077172956601756 km,8.562802494737804 km,7.263527230496287 km,6.077172956601756 km,5.644620465286544 km,5.423127693093876 km,2.9011178571943788 km,4.04110749940899 km,1.4032051776894001 km,5.107449267846846 km,11.59318588465818 km,14.65145654420825 km,25.82909898582262 km,27.04625553180611 km,9.636376157670584 km,8.160140105437517 km,7.526019071607918 km,7.014152247617846 km,14.00239304854745 km,15.80488303873533 km,18.90209868248251 km,16.65247828015421 km,25.946752457795252 km,12.472267088791568 km,15.458031797890532 km,9.398391613100328 km,11.087433799006138 km,8.684077776378853 km,9.054976824737588 km,11.015523441558068 km,11.17340080027728 km,8.313244869439393 km,17.060682404755035 km,37.14272296619527 km,20.620165332706495 km,14.945240454576066 km,24.129831035610806 km,27.85001249923537 km,21.407622964775147 km,23.80798533391482 km,30.16790471982953 km,30.697942214733253 km,26.538936212930324 km,23.805160680389374 km,30.457466081988635 km,35.28056590187874 km
虹山社区卫生服务中心,2.8901180554772927 km,4.222424934706697 km,2.705673792861286 km,2.428669310136519 km,0.9283840436705687 km,1.9378730211630064 km,6.1074514846392445 km,2.759744774745228 km,3.1372724809565655 km,3.3517915026932217 km,4.233578027808744 km,2.816510353029537 km,5.30493360255108 km,4.233578027808744 km,5.413830159189142 km,4.676854073113102 km,4.834476518643082 km,6.659342542323715 km,8.321600256852287 km,10.976416594536294 km,18.02667706487807 km,21.569782813555065 km,32.46995085906626 km,32.443031296654475 km,8.320790028024648 km,5.991337024231807 km,6.235621969107 km,7.361497928446134 km,13.373117567338856 km,14.128735775101507 km,16.744041755097072 km,12.283219617116094 km,32.71945319328039 km,13.405158082023226 km,16.714259228554504 km,2.5238719403816123 km,4.090440364658601 km,3.5875915836606613 km,5.402411768343863 km,7.234172039478626 km,5.629330335026154 km,2.6067053045753807 km,10.353758727533931 km,31.571307166605575 km,14.781934686123293 km,9.045872822139087 km,22.932166491089177 km,27.206101106891346 km,20.021949897338 km,22.34171275416512 km,29.12632081739335 km,29.39696460855349 km,29.380965252004398 km,23.33270670115434 km,28.287145733453645 km,32.92665332901578 km
普吉社区卫生服务中心,5.416458207906971 km,6.639513751694126 km,5.354881105067178 km,5.047102224081813 km,3.6117616478600563 km,3.1013684727101323 km,5.442845606082788 km,2.7618600317456874 km,0.49527271876151785 km,5.781950974892782 km,6.394472662875279 km,1.9001786109198942 km,7.6623164532757455 km,6.394472662875279 km,7.335217013785958 km,6.594299003582009 km,5.668426283520858 km,7.9344674005466125 km,7.8600553466225 km,9.614495671257355 km,18.345184409687896 km,20.679505391391057 km,31.131187824067734 km,30.401052099157578 km,10.7595937058718 km,8.450644508852585 km,8.540155872644593 km,9.391273990297911 km,15.838026971727691 km,16.731572463727836 km,19.399961460481613 km,14.925453433728393 km,32.69951603464819 km,15.591673985173449 km,18.89706156727925 km,4.652030694592108 km,5.450948560855394 km,6.27101291006899 km,8.041299491958874 km,9.912149341351638 km,8.219015169988495 km,5.28339735060879 km,12.161926829453082 km,33.84405893724463 km,13.880071024260383 km,11.424160331988919 km,25.540272707690743 km,29.77328634132544 km,22.635288404546593 km,24.97038621880961 km,31.737742815851245 km,32.029923978420456 km,31.302444118268973 km,25.864970906940737 km,30.963816164896766 km,35.60900704906818 km
官渡区人民医院,6.139547785161932 km,4.790830241672198 km,6.524056656353932 km,6.683017022515572 km,8.237753700886266 km,8.381179136780395 km,10.403844202035636 km,11.512044170405625 km,11.690570361936581 km,5.662363012852348 km,5.001575360069443 km,11.808792980509391 km,3.7201571345956217 km,5.001575360069443 km,4.4163183233313035 km,5.0276170261391195 km,7.323089947500918 km,5.685630352213312 km,10.782937157047062 km,14.725981863360538 km,14.832916859830698 km,21.949020418434056 km,33.64338340695363 km,36.35647411428585 km,0.9286123567394365 km,3.0666300274383147 km,2.8334892431481444 km,2.6834821825343425 km,4.555911967718579 km,6.108806759284619 km,9.210795342043284 km,8.447936756500521 km,29.336349285259793 km,4.553766204327911 km,7.800763368365296 km,9.179461979583904 km,10.937931543832793 km,6.283210054563711 km,4.320626439072024 km,4.303460647157631 km,6.983905848045534 km,7.146548746810639 km,13.15442891323263 km,29.055565205820606 km,22.87270235376995 km,9.523951139814917 km,14.626693922353352 km,18.6248922536742 km,11.816453888725132 km,14.218493707265331 km,20.774165714176497 km,21.20921927483973 km,20.734994628463845 km,14.635722222071843 km,20.775440669812408 km,25.59156612478424 km
